Date,Open,High,Low,Close,Adj Close,Volume
2020-07-21,83400,84700,83000,84100,84100,4181015
2020-07-22,84100,84200,82900,83200,83200,2876295
2020-07-23,84000,84000,82300,82400,82400,3591647
2020-07-24,82300,83700,82200,83700,83700,3667416
2020-07-27,83100,84000,82800,82800,82800,2784652
2020-07-28,83900,83900,82700,83100,83100,4538720
2020-07-29,82900,83800,82600,83200,83200,3719681
2020-07-30,83300,86400,83000,85300,85300,6870841
2020-07-31,85700,86000,82800,82800,82800,4848989
2020-08-03,82400,82600,81500,81800,81800,3483106
2020-08-04,81800,82500,81400,81600,81600,3005937
2020-08-05,81200,81300,80500,80700,80700,4537005
2020-08-06,80700,81900,80700,81100,81100,3391939
2020-08-07,81200,81300,80000,80600,80600,4946631
2020-08-10,80100,81900,79800,81400,81400,3277238
2020-08-11,81700,82000,81000,81300,81300,3234013
2020-08-12,81100,81300,80200,81000,81000,3595828
2020-08-13,81900,82000,80300,80700,80700,4049387
2020-08-14,80200,81100,80100,80200,80200,2589552
2020-08-18,80000,80200,78000,78100,78100,4946279
2020-08-19,77300,78000,75000,75000,75000,8028305
2020-08-20,74400,74400,71300,71800,71800,7260223
2020-08-21,72800,77000,72500,74500,74500,7700029
2020-08-24,74600,77200,73700,75500,75500,4298619
2020-08-25,76300,77700,75400,77000,77000,3473488
2020-08-26,78000,79100,77100,78800,78800,4741965
2020-08-27,80200,80200,78800,79100,79100,4223450
2020-08-28,79500,79600,77700,77800,77800,2511956
2020-08-31,78200,78800,75100,75100,75100,5113128
2020-09-01,75200,76500,75200,75200,75200,2538676
2020-09-02,75900,76400,74900,75500,75500,2369360
2020-09-03,77700,79700,77200,78700,78700,7002529
2020-09-04,76400,79400,76100,78700,78700,4582566
2020-09-07,78600,79500,77600,78400,78400,2786930
2020-09-08,78700,80000,78200,79400,79400,3380355
2020-09-09,77900,78400,77200,77300,77300,3918435
2020-09-10,78000,78200,76600,76600,76600,3541520
2020-09-11,76700,78500,76300,78400,78400,2831262
2020-09-14,79100,80100,78900,80000,80000,4099644
2020-09-15,81300,82100,80200,81900,81900,5899410
2020-09-16,81700,82400,80500,81500,81500,3119110
2020-09-17,81900,82900,81200,82200,82200,4055050
2020-09-18,82900,83900,82200,83700,83700,5199334
2020-09-21,83700,85000,83600,84500,84500,4102947
2020-09-22,84400,84800,80200,81300,81300,4139983
2020-09-23,82300,84800,80500,83600,83600,4439085
2020-09-24,82800,85400,82300,84300,84300,6401560
2020-09-25,85800,85900,82200,82900,82900,3205596
2020-09-28,83400,83700,81300,82500,82500,3154068
2020-09-29,83100,84900,82200,84000,84000,4707898
2020-10-05,83000,84100,82300,83200,83200,3396894
2020-10-06,84000,84200,82600,83000,83000,2750145
2020-10-07,82900,83700,82500,83400,83400,2254356
2020-10-08,84300,84500,82900,82900,82900,3330824
2020-10-12,83900,85500,83500,85500,85500,4464264
2020-10-13,85500,89000,84600,88200,88200,6375448
2020-10-14,88000,88900,86100,86500,86500,3223767
2020-10-15,86100,87300,85900,87100,87100,2802900
2020-10-16,87000,87900,84900,85300,85300,2435541
2020-10-19,86100,87900,85800,86700,86700,3150011
2020-10-20,85300,90900,83700,85200,85200,6622637
2020-10-21,85300,86200,82800,83800,83800,4925877
2020-10-22,84200,84300,82500,83300,83300,2593975
2020-10-23,82800,84700,82300,83900,83900,2609595
2020-10-26,84300,84700,83000,83200,83200,1662847
2020-10-27,82300,83400,81800,82600,82600,2265817
2020-10-28,82100,83600,82000,82900,82900,1773556
2020-10-29,81900,82400,81000,81700,81700,2637314
2020-10-30,81600,82100,79900,79900,79900,2710477
2020-11-02,80200,80600,79200,79600,79600,2000394
2020-11-03,79600,81400,79600,81400,81400,2057723
2020-11-04,82100,84400,81200,83200,83200,3782296
2020-11-05,84100,86200,83300,86100,86100,4082325
2020-11-06,86500,87700,86000,86300,86300,2863808
2020-11-09,86500,87300,85600,86000,86000,2444330
2020-11-10,86900,87200,85900,86500,86500,2849783
2020-11-11,86100,87200,85900,87000,87000,2638617
2020-11-12,87600,88400,87000,88100,88100,4006433
2020-11-13,88100,90000,87500,89700,89700,3774278
2020-11-16,92100,98100,91100,98000,98000,9274278
2020-11-17,97400,99600,96500,98100,98100,5218295
2020-11-18,99800,100500,96600,98000,98000,3734037
2020-11-19,96200,98300,96000,98200,98200,2766688
2020-11-20,99000,99000,96800,96800,96800,2424003
2020-11-23,97300,101000,96600,100000,100000,4149013
2020-11-24,101000,102000,98300,98600,98600,3766043
2020-11-25,100500,100500,96300,97200,97200,4081524
2020-11-26,96800,99500,96300,99400,99400,2933290
2020-11-27,99600,99900,98200,98800,98800,1976047
2020-11-30,99700,99800,97300,97500,97500,3877841
2020-12-01,98600,101500,97800,100500,100500,4455519
2020-12-02,103000,109500,103000,109000,109000,7488361
2020-12-03,110500,114500,109000,111500,111500,6617912
2020-12-04,116000,119500,112500,115000,115000,8258814
2020-12-07,118500,120000,116000,118000,118000,5191354
2020-12-08,118000,118000,114000,115000,115000,4536460
2020-12-09,116000,121000,115000,120500,120500,5490760
2020-12-10,117000,118500,115500,116500,116500,8205744
2020-12-11,118000,118000,115000,115500,115500,3944552
2020-12-14,116000,119000,115500,117000,117000,3066761
2020-12-15,118500,118500,115000,117500,117500,2755902
2020-12-16,119000,119500,117000,117500,117500,2213552
2020-12-17,118500,119500,117000,119500,119500,3649945
2020-12-18,118500,119000,117500,118500,118500,3010798
2020-12-21,118000,118000,114500,116000,116000,3585805
2020-12-22,115000,115500,112500,112500,112500,4270842
2020-12-23,113000,116000,112500,116000,116000,3173156
2020-12-24,116000,118500,115500,118000,118000,3486636
2020-12-28,119000,119500,115000,115500,115500,4825132
2020-12-29,118000,118500,114000,116000,116000,4208916
2020-12-30,116000,118500,114500,118500,118500,4195192
2021-01-04,124500,128000,120500,126000,126000,7995016
2021-01-05,124500,132500,124000,130500,130500,7180224
2021-01-06,132500,137000,130000,131000,131000,8525749
2021-01-07,132500,137500,131500,134500,134500,5981299
2021-01-08,136000,138000,132500,138000,138000,8713010
2021-01-11,138000,140000,131000,133000,133000,11154671
2021-01-12,132000,133500,125500,129000,129000,8700877
2021-01-13,129000,133500,128500,133000,133000,6791044
2021-01-14,132500,133000,129000,130500,130500,5380278
2021-01-15,133000,135000,127000,127500,127500,4838114
2021-01-18,126000,131000,125000,130000,130000,5927419
2021-01-19,131000,132000,128500,130500,130500,4513315
2021-01-20,134000,135000,130000,130500,130500,4913282
2021-01-21,131500,133000,130000,131500,131500,3067677
2021-01-22,131500,132000,128500,128500,128500,3927767
2021-01-25,130000,135000,129500,135000,135000,5061864
2021-01-26,134000,134000,128500,129000,129000,6270106
2021-01-27,129500,132000,127500,128500,128500,5068456
2021-01-28,124000,125500,121500,123000,123000,6270829
2021-01-29,128500,128500,121500,122500,122500,7391307
2021-02-01,121000,126000,118000,125000,125000,5584321
