Date,Open,High,Low,Close,Adj Close,Volume
2020-12-09,188000,192000,187000,191500,188468.34375,1805987
2020-12-10,189000,194000,188000,191500,188468.34375,2187019
2020-12-11,193000,194500,190000,190000,186992.09375,1644559
2020-12-14,190500,191000,187000,189000,186007.92188,1259459
2020-12-15,189000,190500,186000,188500,185515.82813,1355388
2020-12-16,190000,193500,189500,190000,186992.09375,1268117
2020-12-17,190000,190500,188000,190500,187484.17188,974859
2020-12-18,191000,191000,189000,189000,186007.92188,930831
2020-12-21,188500,189000,185000,187000,184039.57813,1120752
2020-12-22,186000,186500,183000,184000,181087.07813,1381697
2020-12-23,183000,188500,183000,185000,182071.25,1301433
2020-12-24,185000,189000,185000,187000,184039.57813,1061140
2020-12-28,189000,193000,187500,189500,186500,2410348
2020-12-29,191000,191500,188000,190500,190500,1488327
2020-12-30,190500,193500,189000,192000,192000,1361340
2021-01-04,194000,211000,193500,207500,207500,5651695
2021-01-05,207000,213000,205000,209500,209500,3022595
2021-01-06,209500,211500,202500,203000,203000,2848547
2021-01-07,206000,210500,204500,206000,206000,2478337
2021-01-08,240500,257000,225000,246000,246000,19933702
2021-01-11,256500,289000,256000,267500,267500,14433887
2021-01-12,263500,274500,250500,261000,261000,8040182
2021-01-13,259500,265000,250000,259000,259000,5805649
2021-01-14,251000,255500,248500,250500,250500,3389733
2021-01-15,252000,255000,239000,240000,240000,3915078
2021-01-18,237500,246500,234000,241000,241000,3387635
2021-01-19,244000,261500,244000,261500,261500,4976690
2021-01-20,271000,277000,254000,259000,259000,5305494
2021-01-21,264000,266500,259500,264500,264500,2593509
2021-01-22,261000,263000,257000,257000,257000,2093127
2021-01-25,253000,262000,251500,260000,260000,1895263
2021-01-26,260500,260500,250500,251500,251500,1846817
2021-01-27,252000,254500,245000,245500,245500,2190994
2021-01-28,238000,243500,236500,238500,238500,2033262
2021-01-29,242000,242500,227000,229000,229000,2663404
2021-02-01,229000,238500,224500,238500,238500,1780599
