,Date,Open,High,Low,Close,Volume
203,2019-08-08 11:00-00,46200,46600,45000,45350,12872916
204,2019-08-08 12:00-00,46200,46600,45000,45350,12872916
205,2019-08-08 13:00-00,46200,46600,45000,45350,12872916
206,2019-08-08 14:00-00,46200,46600,45000,45350,12872916
207,2019-08-08 15:00-00,46200,46600,45000,45350,12872916
208,2019-08-08 16:00-00,46200,46600,45000,45350,12872916
209,2019-08-08 17:00-00,46200,46600,45000,45350,12872916
210,2019-08-08 18:00-00,46200,46600,45000,45350,12872916
211,2019-08-08 19:00-00,46200,46600,45000,45350,12872916
212,2019-08-08 20:00-00,46200,46600,45000,45350,12872916
213,2019-08-08 21:00-00,46200,46600,45000,45350,12872916
214,2019-08-08 22:00-00,46200,46600,45000,45350,12872916
215,2019-08-08 23:00-00,46200,46600,45000,45350,12872916
216,2019-08-09 00:00-00,46200,46600,45000,45350,12872916
217,2019-08-09 01:00-00,46200,46600,45000,45350,12872916
218,2019-08-09 02:00-00,46200,46600,45000,45350,12872916
219,2019-08-09 03:00-00,46200,46600,45000,45350,12872916
220,2019-08-09 04:00-00,46200,46600,45000,45350,12872916
221,2019-08-09 05:00-00,46200,46600,45000,45350,12872916
222,2019-08-09 06:00-00,46200,46600,45000,45350,12872916
223,2019-08-09 07:00-00,46200,46600,45000,45350,12872916
224,2019-08-09 08:00-00,46200,46600,45000,45350,12872916
225,2019-08-09 09:00-00,46200,46600,45000,45350,12872916
226,2019-08-09 10:00-00,46200,46600,45000,45350,12872916
227,2019-08-09 11:00-00,46200,46600,45000,45350,12872916
228,2019-08-09 12:00-00,46200,46600,45000,45350,12872916
229,2019-08-09 13:00-00,46200,46600,45000,45350,12872916
230,2019-08-09 14:00-00,46200,46600,45000,45350,12872916
231,2019-08-09 15:00-00,46200,46600,45000,45350,12872916
232,2019-08-09 16:00-00,46200,46600,45000,45350,12872916
233,2019-08-09 17:00-00,46200,46600,45000,45350,12872916
234,2019-08-09 18:00-00,46200,46600,45000,45350,12872916
235,2019-08-09 19:00-00,46200,46600,45000,45350,12872916
236,2019-08-09 20:00-00,46200,46600,45000,45350,12872916
237,2019-08-09 21:00-00,46200,46600,45000,45350,12872916
238,2019-08-09 22:00-00,46200,46600,45000,45350,12872916
239,2019-08-09 23:00-00,46200,46600,45000,45350,12872916
240,2019-08-10 00:00-00,46200,46600,45000,45350,12872916
241,2019-08-10 01:00-00,46200,46600,45000,45350,12872916
242,2019-08-10 02:00-00,46200,46600,45000,45350,12872916
243,2019-08-10 03:00-00,46200,46600,45000,45350,12872916
244,2019-08-10 04:00-00,46200,46600,45000,45350,12872916
245,2019-08-10 05:00-00,46200,46600,45000,45350,12872916
246,2019-08-10 06:00-00,46200,46600,45000,45350,12872916
247,2019-08-10 07:00-00,46200,46600,45000,45350,12872916
248,2019-08-10 08:00-00,46200,46600,45000,45350,12872916
249,2019-08-10 09:00-00,46200,46600,45000,45350,12872916
250,2019-08-10 10:00-00,46200,46600,45000,45350,12872916
251,2019-08-10 11:00-00,46200,46600,45000,45350,12872916
252,2019-08-10 12:00-00,46200,46600,45000,45350,12872916
253,2019-08-10 13:00-00,46200,46600,45000,45350,12872916
254,2019-08-10 14:00-00,46200,46600,45000,45350,12872916
255,2019-08-10 15:00-00,46200,46600,45000,45350,12872916
256,2019-08-10 16:00-00,46200,46600,45000,45350,12872916
257,2019-08-10 17:00-00,46200,46600,45000,45350,12872916
